destination_name,origin_name,2019,2020,2021,2022
RO,NL,1325.0,770.0,1556.0,2056.0
CZ,DK,1316.0,305.0,380.0,823.0
LV,NO,1297.0,706.0,584.0,790.0
RO,BE,1294.0,720.0,1070.0,1413.0
GB,CY,1287.0,1390.0,2366.0,5303.0
DK,GR,1287.0,355.0,988.0,1488.0
TR,CZ,1284.0,521.0,663.0,1181.0
TR,HU,1271.0,476.0,752.0,1335.0
NO,IT,1269.0,172.0,302.0,1553.0
IS,IS,1246.0,548.0,1083.0,1604.0
BE,RO,1245.0,677.0,1006.0,1412.0
DK,CZ,1232.0,306.0,381.0,810.0
DE,MT,1231.0,1210.0,1365.0,1507.0
PL,HU,1206.0,682.0,977.0,2119.0
SE,TR,1203.0,493.0,1550.0,1892.0
DK,TR,1200.0,497.0,1228.0,1886.0
SI,DE,1199.0,1171.0,1221.0,3053.0
IT,NO,1182.0,150.0,333.0,1581.0
FI,BE,1182.0,596.0,660.0,1266.0
UA,GB,1182.0,711.0,949.0,179.0
BG,DE,1169.0,473.0,3160.0,5000.0
GB,BG,1164.0,259.0,1748.0,3160.0
PT,AT,1159.0,591.0,787.0,1106.0
BE,FI,1159.0,518.0,518.0,1201.0
GR,FI,1159.0,66.0,245.0,910.0
FI,CH,1158.0,547.0,690.0,1288.0
UA,AT,1150.0,648.0,886.0,157.0
AT,PT,1139.0,597.0,787.0,1115.0
IL,PL,1139.0,213.0,432.0,1388.0
MT,FR,1133.0,852.0,1540.0,2054.0
DE,SI,1128.0,1003.0,1004.0,1551.0
NO,IS,1126.0,249.0,165.0,474.0
GB,UA,1125.0,655.0,888.0,158.0
AT,UA,1125.0,629.0,906.0,156.0
HR,HR,1118.0,1625.0,1904.0,802.0
TR,RO,1113.0,779.0,1252.0,1759.0
GB,HR,1108.0,499.0,676.0,2575.0
UA,FR,1105.0,354.0,866.0,222.0
IL,AT,1103.0,450.0,834.0,1626.0
IL,ES,1102.0,226.0,504.0,1712.0
BE,NO,1099.0,274.0,311.0,1057.0
CH,FI,1088.0,554.0,685.0,1243.0
CZ,SE,1081.0,318.0,414.0,622.0
GR,NO,1081.0,28.0,120.0,522.0
IL,CH,1075.0,292.0,612.0,1440.0
LT,DE,1074.0,1057.0,1578.0,2303.0
PL,IL,1070.0,377.0,491.0,1514.0
LU,AT,1067.0,636.0,602.0,1012.0
FR,UA,1065.0,342.0,790.0,235.0
PT,DK,1062.0,316.0,638.0,1203.0
GR,TR,1061.0,291.0,675.0,1047.0
IS,NO,1054.0,250.0,187.0,490.0
GR,RO,1040.0,590.0,556.0,755.0
HU,PL,1030.0,678.0,940.0,2114.0
SE,HU,1028.0,405.0,425.0,934.0
IL,NL,1024.0,167.0,496.0,1240.0
NO,CH,1024.0,358.0,311.0,1096.0
