REPORTER_LAB,PARTNER_LAB,PRODUCT,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Austria","Russian Federation (Russia)",79,"ZINC AND ARTICLES THEREOF","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",7147
"Austria","Russian Federation (Russia)",80,"TIN AND ARTICLES THEREOF","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",62
"Austria","Russian Federation (Russia)",81,"OTHER BASE METALS; CERMETS; ARTICLES THEREOF","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",1954704
"Austria","Russian Federation (Russia)",81,"OTHER BASE METALS; CERMETS; ARTICLES THEREOF","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",7847178
"Austria","Russian Federation (Russia)",82,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",14026
"Austria","Russian Federation (Russia)",82,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",80792
"Austria","Russian Federation (Russia)",83,"MISCELLANEOUS ARTICLES OF BASE METAL","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",1917
"Austria","Russian Federation (Russia)",83,"MISCELLANEOUS ARTICLES OF BASE METAL","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",4125951
"Austria","Russian Federation (Russia)",59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",284
"Austria","Russian Federation (Russia)",59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",3481
"Austria","Russian Federation (Russia)",71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",10534
"Austria","Russian Federation (Russia)",71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",181006
"Austria","Russian Federation (Russia)",84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",202969
"Austria","Russian Federation (Russia)",84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",24592295
"Austria","Russian Federation (Russia)",85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",92539
"Austria","Russian Federation (Russia)",85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",2803876
"Austria","Russian Federation (Russia)",28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",4667868
"Austria","Russian Federation (Russia)",28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",7421390
"Austria","Russian Federation (Russia)",29,"ORGANIC CHEMICALS","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",424787
