admin3,event_type,year,fatalities
Donetska,Explosions/Remote violence,2020,2
Donetska,Explosions/Remote violence,2021,18
Donetska,Explosions/Remote violence,2022,378
Donetska,Explosions/Remote violence,2023,201
Donetska,Explosions/Remote violence,2024,171
Donska,Explosions/Remote violence,2024,0
Dovzhanska,Battles,2021,0
Dovzhanska,Battles,2022,0
Dovzhanska,Battles,2023,5
Dovzhanska,Battles,2024,2
Dovzhanska,Explosions/Remote violence,2020,0
Dovzhanska,Explosions/Remote violence,2022,0
Dovzhanska,Explosions/Remote violence,2023,0
Dovzhanska,Explosions/Remote violence,2024,3
Drohobytska,Explosions/Remote violence,2023,0
Drohobytska,Explosions/Remote violence,2024,0
Druzhbivska,Battles,2024,0
Druzhbivska,Explosions/Remote violence,2022,0
Druzhbivska,Explosions/Remote violence,2023,0
Druzhbivska,Explosions/Remote violence,2024,0
Druzhkivska,Battles,2022,0
Druzhkivska,Battles,2023,0
Druzhkivska,Battles,2024,9
Druzhkivska,Explosions/Remote violence,2022,13
Druzhkivska,Explosions/Remote violence,2023,6
Druzhkivska,Explosions/Remote violence,2024,10
Dubenska,Battles,2022,0
Dubenska,Explosions/Remote violence,2022,0
Dubenska,Explosions/Remote violence,2023,0
Dubivska,Explosions/Remote violence,2022,1
Duboviazivska,Explosions/Remote violence,2022,0
Duboviazivska,Explosions/Remote violence,2024,0
Dubovykivska,Explosions/Remote violence,2022,25
Dubovykivska,Explosions/Remote violence,2023,2
Dubrovytska,Explosions/Remote violence,2023,1
Dvorichanska,Battles,2022,36
Dvorichanska,Battles,2023,198
Dvorichanska,Battles,2024,127
Dvorichanska,Explosions/Remote violence,2022,86
Dvorichanska,Explosions/Remote violence,2023,512
Dvorichanska,Explosions/Remote violence,2024,89
Dymerska,Battles,2022,0
Dymerska,Explosions/Remote violence,2022,2
Dzhankoiska,Explosions/Remote violence,2022,0
Dzhankoiska,Explosions/Remote violence,2023,23
Dzhankoiska,Explosions/Remote violence,2024,30
Enerhodarska,Battles,2022,168
Enerhodarska,Explosions/Remote violence,2022,193
Enerhodarska,Explosions/Remote violence,2023,2
Enerhodarska,Explosions/Remote violence,2024,5
Esmanska,Battles,2024,4
Esmanska,Explosions/Remote violence,2022,0
Esmanska,Explosions/Remote violence,2023,2
Esmanska,Explosions/Remote violence,2024,28
Fastivska,Battles,2022,0
Fastivska,Explosions/Remote violence,2022,0
Fastivska,Explosions/Remote violence,2023,0
Fedorivska,Battles,2022,0
Fedorivska,Battles,2023,15
Fedorivska,Battles,2024,6
Fedorivska,Explosions/Remote violence,2022,8
Fedorivska,Explosions/Remote violence,2023,2
Fedorivska,Explosions/Remote violence,2024,10
Feodosiiska,Explosions/Remote violence,2023,74
Feodosiiska,Explosions/Remote violence,2024,0
Fontanska,Explosions/Remote violence,2022,0
Frunzenska,Explosions/Remote violence,2022,0
Haisynska,Explosions/Remote violence,2024,0
Haivoronska,Explosions/Remote violence,2023,0
Halytska,Explosions/Remote violence,2024,0
Halytsynivska,Battles,2022,2
Halytsynivska,Explosions/Remote violence,2022,21
Halytsynivska,Explosions/Remote violence,2023,0
Halytsynivska,Explosions/Remote violence,2024,0
Hatnenska,Explosions/Remote violence,2022,1
Henicheska,Battles,2022,10
Henicheska,Explosions/Remote violence,2022,27
Henicheska,Explosions/Remote violence,2023,16
Henicheska,Explosions/Remote violence,2024,0
Hirska,Battles,2020,4
Hirska,Battles,2021,4
Hirska,Battles,2022,59
Hirska,Battles,2024,0
Hirska,Explosions/Remote violence,2020,9
Hirska,Explosions/Remote violence,2021,2
Hirska,Explosions/Remote violence,2022,18
Hirska,Explosions/Remote violence,2023,0
Hlevakhivska,Explosions/Remote violence,2022,5
Hlevakhivska,Explosions/Remote violence,2024,0
Hlukhivska,Battles,2022,0
Hlukhivska,Battles,2024,3
Hlukhivska,Explosions/Remote violence,2022,4
Hlukhivska,Explosions/Remote violence,2023,0
Hlukhivska,Explosions/Remote violence,2024,34
Hoholivska,Explosions/Remote violence,2023,4
Holoprystanska,Battles,2022,120
Holoprystanska,Battles,2023,21
Holoprystanska,Battles,2024,0
Holoprystanska,Explosions/Remote violence,2022,92
Holoprystanska,Explosions/Remote violence,2023,43
Holoprystanska,Explosions/Remote violence,2024,13
Holovanivska,Explosions/Remote violence,2022,0
Holovanivska,Explosions/Remote violence,2024,0
Honcharivska,Explosions/Remote violence,2022,3
Honcharivska,Explosions/Remote violence,2023,2
Horishnoplavnivska,Explosions/Remote violence,2023,0
Horishnoplavnivska,Explosions/Remote violence,2024,0
Horlivska,Battles,2020,0
Horlivska,Battles,2021,2
Horlivska,Battles,2022,16
Horlivska,Battles,2023,41
Horlivska,Battles,2024,77
Horlivska,Explosions/Remote violence,2020,4
Horlivska,Explosions/Remote violence,2021,6
Horlivska,Explosions/Remote violence,2022,401
Horlivska,Explosions/Remote violence,2023,36
Horlivska,Explosions/Remote violence,2024,94
Hornostaivska,Explosions/Remote violence,2022,134
Hornostaivska,Explosions/Remote violence,2023,1
Hornostaivska,Explosions/Remote violence,2024,13
Horodnianska,Battles,2022,10
Horodnianska,Explosions/Remote violence,2022,2
Horodnianska,Explosions/Remote violence,2023,0
Horodnianska,Explosions/Remote violence,2024,0
Horokhivska,Battles,2022,0
Horokhivska,Explosions/Remote violence,2022,13
Horokhivska,Explosions/Remote violence,2023,3
Horokhivska,Explosions/Remote violence,2024,0
Hostomelska,Battles,2022,60
Hostomelska,Explosions/Remote violence,2022,1
Hrebinkivska,Explosions/Remote violence,2023,0
Hrebinkivska,Explosions/Remote violence,2024,0
Hrodivska,Battles,2022,0
Hrodivska,Battles,2023,1
Hrodivska,Battles,2024,6733
Hrodivska,Explosions/Remote violence,2022,5
Hrodivska,Explosions/Remote violence,2023,3
Hrodivska,Explosions/Remote violence,2024,128
Hrunska,Explosions/Remote violence,2024,0
Hrushivska,Battles,2022,0
Hrushivska,Explosions/Remote violence,2022,0
Hrushivska,Explosions/Remote violence,2023,0
Hrushivska,Explosions/Remote violence,2024,0
Hryshynska,Explosions/Remote violence,2024,0
Hubynyska,Explosions/Remote violence,2022,10
Huliaipilska,Battles,2022,51
Huliaipilska,Battles,2023,128
Huliaipilska,Battles,2024,66
Huliaipilska,Explosions/Remote violence,2022,69
Huliaipilska,Explosions/Remote violence,2023,150
Huliaipilska,Explosions/Remote violence,2024,159
Hurivska,Explosions/Remote violence,2022,0
Hurzufska,Explosions/Remote violence,2023,0
Ichnianska,Explosions/Remote violence,2022,10
Ichnianska,Explosions/Remote violence,2024,0
Ilarionivska,Explosions/Remote violence,2022,0
Ilarionivska,Explosions/Remote violence,2023,0
Illinivska,Battles,2022,10
