REPORTER_LAB,PARTNER_LAB,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Austria","All countries of the world","IRON AND STEEL","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",5351417379
"Austria","All countries of the world","NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",4635817337
"Austria","All countries of the world","NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",5763953148
"Austria","All countries of the world","NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",25568034046
"Austria","All countries of the world","NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",23198759851
"Austria","All countries of the world","ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",24699513928
"Austria","All countries of the world","ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",20737983582
"Austria","All countries of the world","FERTILISERS","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",257878954
"Austria","All countries of the world","FERTILISERS","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",272296357
"Austria","All countries of the world","INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",1282795089
"Austria","All countries of the world","INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",1007996650
"Austria","All countries of the world","ORGANIC CHEMICALS","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",5719001825
"Austria","All countries of the world","ORGANIC CHEMICALS","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",3684129911
"Austria","All countries of the world","CEREALS","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",747400081
"Austria","All countries of the world","CEREALS","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",629470192
"Austria","All countries of the world","OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",646481453
"Austria","All countries of the world","OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",637643587
"Austria","All countries of the world","Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",102506357
"Austria","All countries of the world","Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",117723435
"Austria","All countries of the world","ORES, SLAG AND ASH","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",1405478049
"Austria","All countries of the world","ORES, SLAG AND ASH","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",1771352257
"Austria","All countries of the world","WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",2961037850
"Austria","All countries of the world","WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",3719894008
"Austria","All countries of the world","Total","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",207757247504
"Austria","All countries of the world","Total","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",183828695536
"Austria","All countries of the world","Petroleum gas and other gaseous hydrocarbons","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",4966404
"Austria","All countries of the world","Petroleum gas and other gaseous hydrocarbons","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",3465037
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous minerals","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",19938
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","IRON AND STEEL","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",4820362
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","IRON AND STEEL","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",58700275
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",15066
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine","NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",113956
